BGP router identifier 10.10.10.3, local AS number 65001
BGP table version is 1, main routing table version 1

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
10.10.10.1      4        65001     516     515        1    0    0 01:21:27        0
10.10.10.2      4        65001     518     518        1    0    0 01:21:30        0
10.10.10.4      4        65001     516     516        1    0    0 01:21:25        0
10.10.10.5      4        65001     516     515        1    0    0 01:21:28        0
10.10.10.6      4        65001     513     515        1    0    0 01:21:23        0
10.10.10.7      4        65001     516     514        1    0    0 01:21:25        0
10.10.10.8      4        65001     517     513        1    0    0 01:21:27        0
10.10.10.9      4        65001     516     516        1    0    0 01:21:27        0
10.10.10.10     4        65001     515     517        1    0    0 01:21:23        0
10.10.10.11     4        65001     516     515        1    0    0 01:21:23        0
10.10.10.12     4        65001     516     514        1    0    0 01:21:18        0
10.10.10.13     4        65001     514     513        1    0    0 01:21:16        0
10.10.10.14     4        65001       0       0        1    0    0 01:18:28 Idle
10.10.10.15     4        65001     515     513        1    0    0 01:21:13        0
10.10.10.16     4        65001     514     515        1    0    0 01:21:13        0
10.10.10.17     4        65001     514     513        1    0    0 01:21:10        0
10.10.10.18     4        65001     512     513        1    0    0 01:21:04        0
10.10.10.19     4        65001     512     512        1    0    0 01:21:02        0
10.10.10.20     4        65001     513     513        1    0    0 01:21:05        0
10.10.10.21     4        65001     514     512        1    0    0 01:20:57        0
10.10.10.22     4        65001     510     513        1    0    0 01:20:52        0
10.10.10.23     4        65001     511     512        1    0    0 01:20:51        0
10.10.10.24     4        65001     511     509        1    0    0 01:20:52        0
10.10.10.25     4        65001     510     513        1    0    0 01:20:50        0
10.10.10.26     4        65001     511     509        1    0    0 01:20:51        0
10.10.10.27     4        65001     511     511        1    0    0 01:20:49        0
10.10.10.28     4        65001       0       0        1    0    0 never    Idle
10.10.10.29     4        65001     508     512        1    0    0 01:20:43        0
10.10.10.30     4        65001     508     510        1    0    0 01:20:44        0
10.10.10.31     4        65001     509     513        1    0    0 01:20:35        0
10.10.10.32     4        65001     510     511        1    0    0 01:20:35        0
10.10.10.33     4        65001     509     511        1    0    0 01:20:35        0
10.10.10.34     4        65001     508     510        1    0    0 01:20:29        0
10.10.10.35     4        65001     508     510        1    0    0 01:20:31        0
10.10.10.36     4        65001     506     510        1    0    0 01:20:30        0
10.10.10.37     4        65001     506     509        1    0    0 01:20:21        0
10.10.10.38     4        65001     511     507        1    0    0 01:20:26        0
10.10.10.39     4        65001     507     510        1    0    0 01:20:21        0
10.10.10.40     4        65001     508     506        1    0    0 01:20:12        0
10.10.10.41     4        65001     508     506        1    0    0 01:20:08        0
10.10.10.42     4        65001     510     505        1    0    0 01:20:08        0
10.10.10.43     4        65001     506     505        1    0    0 01:20:10        0
10.10.10.44     4        65001     504     503        1    0    0 01:20:07        0
10.10.10.45     4        65001     506     507        1    0    0 01:20:04        0
10.10.10.46     4        65001     508     504        1    0    0 01:20:08        0
10.10.10.47     4        65001     507     503        1    0    0 01:20:01        0
10.10.10.48     4        65001     504     507        1    0    0 01:20:05        0
10.10.10.49     4        65001     507     507        1    0    0 01:19:58        0
10.10.10.50     4        65001     508     508        1    0    0 01:19:56        0
