BGP router identifier 10.10.10.8, local AS number 65001
BGP table version is 1, main routing table version 1

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
10.10.10.1      4        65001     222     224        1    0    0 00:35:02        0
10.10.10.2      4        65001     222     223        1    0    0 00:35:03        0
10.10.10.3      4        65001     223     224        1    0    0 00:35:03        0
10.10.10.4      4        65001     221     223        1    0    0 00:35:04        0
10.10.10.5      4        65001     223     223        1    0    0 00:35:03        0
10.10.10.6      4        65001     220     222        1    0    0 00:34:57        0
10.10.10.7      4        65001     223     223        1    0    0 00:34:59        0
10.10.10.9      4        65001     221     220        1    0    0 00:34:52        0
10.10.10.10     4        65001     220     223        1    0    0 00:34:55        0
10.10.10.11     4        65001     222     223        1    0    0 00:34:58        0
10.10.10.12     4        65001     223     222        1    0    0 00:34:54        0
10.10.10.13     4        65001     221     220        1    0    0 00:34:55        0
10.10.10.14     4        65001       0       0        1    0    0 00:32:05 Idle
10.10.10.15     4        65001     222     220        1    0    0 00:34:51        0
10.10.10.16     4        65001     220     220        1    0    0 00:34:47        0
10.10.10.17     4        65001     221     220        1    0    0 00:34:43        0
10.10.10.18     4        65001     219     220        1    0    0 00:34:39        0
10.10.10.19     4        65001     220     220        1    0    0 00:34:39        0
10.10.10.20     4        65001     219     219        1    0    0 00:34:32        0
10.10.10.21     4        65001     222     222        1    0    0 00:34:38        0
10.10.10.22     4        65001     220     219        1    0    0 00:34:25        0
10.10.10.23     4        65001     219     217        1    0    0 00:34:24        0
10.10.10.24     4        65001     220     219        1    0    0 00:34:23        0
10.10.10.25     4        65001     219     218        1    0    0 00:34:23        0
10.10.10.26     4        65001     218     218        1    0    0 00:34:16        0
10.10.10.27     4        65001     219     219        1    0    0 00:34:19        0
10.10.10.28     4        65001       0       0        1    0    0 never    Idle
10.10.10.29     4        65001     219     218        1    0    0 00:34:13        0
10.10.10.30     4        65001     219     219        1    0    0 00:34:18        0
10.10.10.31     4        65001     218     216        1    0    0 00:34:13        0
10.10.10.32     4        65001     218     218        1    0    0 00:34:17        0
10.10.10.33     4        65001     217     216        1    0    0 00:34:09        0
10.10.10.34     4        65001     217     216        1    0    0 00:34:11        0
10.10.10.35     4        65001     215     219        1    0    0 00:34:10        0
10.10.10.36     4        65001     218     219        1    0    0 00:34:05        0
10.10.10.37     4        65001     217     216        1    0    0 00:34:04        0
10.10.10.38     4        65001     215     216        1    0    0 00:33:59        0
10.10.10.39     4        65001     216     216        1    0    0 00:34:02        0
10.10.10.40     4        65001     215     215        1    0    0 00:33:51        0
10.10.10.41     4        65001     215     217        1    0    0 00:33:55        0
10.10.10.42     4        65001     215     215        1    0    0 00:33:50        0
10.10.10.43     4        65001     214     216        1    0    0 00:33:43        0
10.10.10.44     4        65001     216     214        1    0    0 00:33:45        0
10.10.10.45     4        65001     213     213        1    0    0 00:33:44        0
10.10.10.46     4        65001     214     215        1    0    0 00:33:42        0
10.10.10.47     4        65001     212     212        1    0    0 00:33:40        0
10.10.10.48     4        65001     215     214        1    0    0 00:33:37        0
10.10.10.49     4        65001     214     214        1    0    0 00:33:41        0
10.10.10.50     4        65001     215     212        1    0    0 00:33:34        0
