BGP router identifier 10.10.10.16, local AS number 65001
BGP table version is 1, main routing table version 1

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
10.10.10.1      4        65001     219     220        1    0    0 00:34:42        0
10.10.10.2      4        65001     221     218        1    0    0 00:34:39        0
10.10.10.3      4        65001     222     221        1    0    0 00:34:50        0
10.10.10.4      4        65001     220     221        1    0    0 00:34:38        0
10.10.10.5      4        65001     219     221        1    0    0 00:34:39        0
10.10.10.6      4        65001     221     224        1    0    0 00:34:45        0
10.10.10.7      4        65001     223     220        1    0    0 00:34:47        0
10.10.10.8      4        65001     220     221        1    0    0 00:34:47        0
10.10.10.9      4        65001     219     220        1    0    0 00:34:41        0
10.10.10.10     4        65001     219     222        1    0    0 00:34:49        0
10.10.10.11     4        65001     222     221        1    0    0 00:34:48        0
10.10.10.12     4        65001     221     222        1    0    0 00:34:48        0
10.10.10.13     4        65001     221     221        1    0    0 00:34:51        0
10.10.10.14     4        65001       0       0        1    0    0 00:32:05 Idle
10.10.10.15     4        65001     221     221        1    0    0 00:34:47        0
10.10.10.17     4        65001     221     220        1    0    0 00:34:46        0
10.10.10.18     4        65001     221     220        1    0    0 00:34:41        0
10.10.10.19     4        65001     221     220        1    0    0 00:34:43        0
10.10.10.20     4        65001     219     219        1    0    0 00:34:41        0
10.10.10.21     4        65001     219     222        1    0    0 00:34:43        0
10.10.10.22     4        65001     219     219        1    0    0 00:34:35        0
10.10.10.23     4        65001     221     221        1    0    0 00:34:38        0
10.10.10.24     4        65001     219     219        1    0    0 00:34:37        0
10.10.10.25     4        65001     221     220        1    0    0 00:34:35        0
10.10.10.26     4        65001     218     219        1    0    0 00:34:32        0
10.10.10.27     4        65001     216     217        1    0    0 00:34:20        0
10.10.10.28     4        65001       0       0        1    0    0 never    Idle
10.10.10.29     4        65001     218     218        1    0    0 00:34:21        0
10.10.10.30     4        65001     218     220        1    0    0 00:34:19        0
10.10.10.31     4        65001     217     216        1    0    0 00:34:17        0
10.10.10.32     4        65001     218     218        1    0    0 00:34:13        0
10.10.10.33     4        65001     220     216        1    0    0 00:34:10        0
10.10.10.34     4        65001     217     218        1    0    0 00:34:12        0
10.10.10.35     4        65001     217     216        1    0    0 00:34:05        0
10.10.10.36     4        65001     217     219        1    0    0 00:34:08        0
10.10.10.37     4        65001     214     217        1    0    0 00:33:59        0
10.10.10.38     4        65001     215     217        1    0    0 00:34:04        0
10.10.10.39     4        65001     217     214        1    0    0 00:33:59        0
10.10.10.40     4        65001     216     216        1    0    0 00:34:00        0
10.10.10.41     4        65001     217     217        1    0    0 00:34:02        0
10.10.10.42     4        65001     216     216        1    0    0 00:33:55        0
10.10.10.43     4        65001     215     216        1    0    0 00:33:59        0
10.10.10.44     4        65001     214     216        1    0    0 00:33:50        0
10.10.10.45     4        65001     216     214        1    0    0 00:33:50        0
10.10.10.46     4        65001     214     215        1    0    0 00:33:46        0
10.10.10.47     4        65001     214     217        1    0    0 00:33:46        0
10.10.10.48     4        65001     215     216        1    0    0 00:33:42        0
10.10.10.49     4        65001     213     214        1    0    0 00:33:45        0
10.10.10.50     4        65001     213     213        1    0    0 00:33:31        0
