BGP router identifier 10.10.10.27, local AS number 65001
BGP table version is 1, main routing table version 1

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
10.10.10.1      4        65001     373     372        1    0    0 00:58:47        0
10.10.10.2      4        65001     373     371        1    0    0 00:58:43        0
10.10.10.3      4        65001     371     372        1    0    0 00:58:52        0
10.10.10.4      4        65001     373     374        1    0    0 00:58:46        0
10.10.10.5      4        65001     373     373        1    0    0 00:58:47        0
10.10.10.6      4        65001     370     372        1    0    0 00:58:45        0
10.10.10.7      4        65001     372     373        1    0    0 00:58:50        0
10.10.10.8      4        65001     372     373        1    0    0 00:58:47        0
10.10.10.9      4        65001     371     371        1    0    0 00:58:44        0
10.10.10.10     4        65001     372     373        1    0    0 00:58:42        0
10.10.10.11     4        65001     373     372        1    0    0 00:58:50        0
10.10.10.12     4        65001     372     369        1    0    0 00:58:44        0
10.10.10.13     4        65001     373     373        1    0    0 00:58:45        0
10.10.10.14     4        65001       0       0        1    0    0 00:56:31 Idle
10.10.10.15     4        65001     374     372        1    0    0 00:58:50        0
10.10.10.16     4        65001     372     371        1    0    0 00:58:48        0
10.10.10.17     4        65001     373     372        1    0    0 00:58:50        0
10.10.10.18     4        65001     373     370        1    0    0 00:58:54        0
10.10.10.19     4        65001     371     372        1    0    0 00:58:49        0
10.10.10.20     4        65001     373     372        1    0    0 00:58:55        0
10.10.10.21     4        65001     373     370        1    0    0 00:58:55        0
10.10.10.22     4        65001     373     371        1    0    0 00:58:53        0
10.10.10.23     4        65001     372     373        1    0    0 00:58:51        0
10.10.10.24     4        65001     374     371        1    0    0 00:58:50        0
10.10.10.25     4        65001     372     371        1    0    0 00:58:51        0
10.10.10.26     4        65001     372     372        1    0    0 00:58:51        0
10.10.10.28     4        65001       0       0        1    0    0 never    Idle
10.10.10.29     4        65001     371     373        1    0    0 00:58:44        0
10.10.10.30     4        65001     372     371        1    0    0 00:58:42        0
10.10.10.31     4        65001     371     369        1    0    0 00:58:43        0
10.10.10.32     4        65001     371     370        1    0    0 00:58:46        0
10.10.10.33     4        65001     372     371        1    0    0 00:58:42        0
10.10.10.34     4        65001     369     370        1    0    0 00:58:41        0
10.10.10.35     4        65001     370     370        1    0    0 00:58:41        0
10.10.10.36     4        65001     370     371        1    0    0 00:58:34        0
10.10.10.37     4        65001     370     371        1    0    0 00:58:35        0
10.10.10.38     4        65001     371     370        1    0    0 00:58:29        0
10.10.10.39     4        65001     371     370        1    0    0 00:58:30        0
10.10.10.40     4        65001     370     368        1    0    0 00:58:27        0
10.10.10.41     4        65001     371     370        1    0    0 00:58:18        0
10.10.10.42     4        65001     371     368        1    0    0 00:58:18        0
10.10.10.43     4        65001     368     371        1    0    0 00:58:19        0
10.10.10.44     4        65001     368     371        1    0    0 00:58:14        0
10.10.10.45     4        65001     367     367        1    0    0 00:58:11        0
10.10.10.46     4        65001     369     369        1    0    0 00:58:09        0
10.10.10.47     4        65001     368     367        1    0    0 00:58:08        0
10.10.10.48     4        65001     371     368        1    0    0 00:58:12        0
10.10.10.49     4        65001     367     370        1    0    0 00:58:11        0
10.10.10.50     4        65001     367     365        1    0    0 00:58:05        0
