BGP router identifier 10.10.10.1, local AS number 65001
BGP table version is 1, main routing table version 1

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
10.10.10.2      4        65001     222     222        1    0    0 00:35:01        0
10.10.10.3      4        65001     223     224        1    0    0 00:35:02        0
10.10.10.4      4        65001     222     222        1    0    0 00:35:04        0
10.10.10.5      4        65001     223     221        1    0    0 00:35:05        0
10.10.10.6      4        65001     222     225        1    0    0 00:34:59        0
10.10.10.7      4        65001     222     223        1    0    0 00:34:58        0
10.10.10.8      4        65001     224     222        1    0    0 00:35:02        0
10.10.10.9      4        65001     221     222        1    0    0 00:34:54        0
10.10.10.10     4        65001     221     223        1    0    0 00:34:54        0
10.10.10.11     4        65001     222     222        1    0    0 00:34:56        0
10.10.10.12     4        65001     220     221        1    0    0 00:34:50        0
10.10.10.13     4        65001     222     222        1    0    0 00:34:52        0
10.10.10.14     4        65001       0       0        1    0    0 00:32:07 Idle
10.10.10.15     4        65001     223     221        1    0    0 00:34:50        0
10.10.10.16     4        65001     220     219        1    0    0 00:34:42        0
10.10.10.17     4        65001     220     220        1    0    0 00:34:34        0
10.10.10.18     4        65001     220     219        1    0    0 00:34:43        0
10.10.10.19     4        65001     220     220        1    0    0 00:34:29        0
10.10.10.20     4        65001     220     221        1    0    0 00:34:30        0
10.10.10.21     4        65001     218     219        1    0    0 00:34:31        0
10.10.10.22     4        65001     223     219        1    0    0 00:34:35        0
10.10.10.23     4        65001     218     219        1    0    0 00:34:28        0
10.10.10.24     4        65001     216     219        1    0    0 00:34:23        0
10.10.10.25     4        65001     218     217        1    0    0 00:34:23        0
10.10.10.26     4        65001     221     219        1    0    0 00:34:25        0
10.10.10.27     4        65001     218     219        1    0    0 00:34:19        0
10.10.10.28     4        65001       0       0        1    0    0 never    Idle
10.10.10.29     4        65001     218     216        1    0    0 00:34:13        0
10.10.10.30     4        65001     217     217        1    0    0 00:34:16        0
10.10.10.31     4        65001     218     217        1    0    0 00:34:15        0
10.10.10.32     4        65001     216     217        1    0    0 00:34:07        0
10.10.10.33     4        65001     216     216        1    0    0 00:34:02        0
10.10.10.34     4        65001     217     217        1    0    0 00:34:04        0
10.10.10.35     4        65001     217     218        1    0    0 00:34:03        0
10.10.10.36     4        65001     216     217        1    0    0 00:33:57        0
10.10.10.37     4        65001     216     216        1    0    0 00:33:55        0
10.10.10.38     4        65001     216     214        1    0    0 00:33:47        0
10.10.10.39     4        65001     216     215        1    0    0 00:33:46        0
10.10.10.40     4        65001     216     217        1    0    0 00:33:50        0
10.10.10.41     4        65001     213     214        1    0    0 00:33:47        0
10.10.10.42     4        65001     215     215        1    0    0 00:33:43        0
10.10.10.43     4        65001     213     213        1    0    0 00:33:41        0
10.10.10.44     4        65001     214     213        1    0    0 00:33:46        0
10.10.10.45     4        65001     216     212        1    0    0 00:33:39        0
10.10.10.46     4        65001     214     212        1    0    0 00:33:40        0
10.10.10.47     4        65001     213     213        1    0    0 00:33:35        0
10.10.10.48     4        65001     212     211        1    0    0 00:33:38        0
10.10.10.49     4        65001     213     212        1    0    0 00:33:37        0
10.10.10.50     4        65001     214     213        1    0    0 00:33:34        0
